NumeroParcela;Contratante;Projeto;Fazenda;Talhao;LocalizacaoPlanejadaX;LocalizacaoPlanejadaY;Zona_UTM
2837;TTG Brasil;IPC;BTF - Sitio das Marrecas;SDM359;-49,3234699;-24,6524889;22
2838;TTG Brasil;IPC;BTF - Sitio das Marrecas;SDM359;-49,3226364;-24,6508909;22
2839;TTG Brasil;IPC;BTF - Sitio das Marrecas;SDM359;-49,3233293;-24,6511596;22
2840;TTG Brasil;IPC;BTF - Sitio das Marrecas;SDM344;-49,313903;-24,6567682;22
2841;TTG Brasil;IPC;BTF - Sitio das Marrecas;SDM350;-49,314247;-24,6556289;22
2842;TTG Brasil;IPC;BTF - Sitio das Marrecas;SDM340;-49,3154418;-24,6572416;22
2843;TTG Brasil;IPC;BTF - Sitio das Marrecas;SDM376;-49,3175344;-24,6563631;22
2844;TTG Brasil;IPC;BTF - Sitio das Marrecas;SDM377;-49,3155421;-24,6558081;22
2845;TTG Brasil;IPC;BTF - Sitio das Marrecas;SDM377;-49,3162171;-24,654328;22
2846;TTG Brasil;IPC;BTF - Sitio das Marrecas;SDM341;-49,3147077;-24,6585144;22
2847;TTG Brasil;IPC;BTF - Sitio das Marrecas;SDM358;-49,3203471;-24,6542791;22
2848;TTG Brasil;IPC;BTF - Sitio das Marrecas;SDM354;-49,3188698;-24,6536173;22
2849;TTG Brasil;IPC;BTF - Sitio das Marrecas;SDM345;-49,3176637;-24,6541066;22
2850;TTG Brasil;IPC;BTF - Sitio das Marrecas;SDM370;-49,318164;-24,6503664;22
2851;TTG Brasil;IPC;BTF - Sitio das Marrecas;SDM370;-49,3198011;-24,6480633;22
2852;TTG Brasil;IPC;BTF - Sitio das Marrecas;SDM370;-49,3176442;-24,6483047;22
2853;TTG Brasil;IPC;BTF - Sitio das Marrecas;SDM370;-49,3218894;-24,6488732;22
2854;TTG Brasil;IPC;BTF - Sitio das Marrecas;SDM364;-49,3176285;-24,6510834;22
2855;TTG Brasil;IPC;BTF - Sitio das Marrecas;SDM363;-49,3169414;-24,6506921;22
2856;TTG Brasil;IPC;BTF - Sitio das Marrecas;SDM363;-49,3148447;-24,6497215;22
2857;TTG Brasil;IPC;BTF - Sitio das Marrecas;SDM352;-49,3129036;-24,6505948;22
2858;TTG Brasil;IPC;BTF - Sitio das Marrecas;SDM352;-49,3123834;-24,6511652;22
2859;TTG Brasil;IPC;BTF - Sitio das Marrecas;SDM351;-49,3102251;-24,6520117;22
2860;TTG Brasil;IPC;BTF - Sitio das Marrecas;SDM373;-49,3202103;-24,6522599;22
2861;TTG Brasil;IPC;BTF - Sitio das Marrecas;SDM362;-49,3222852;-24,6537727;22
2862;TTG Brasil;IPC;BTF - Sitio Elias;SEL274;-49,3112097;-24,5890077;22
2863;TTG Brasil;IPC;BTF - Sitio Elias;SEL274;-49,310652;-24,5895124;22
2864;TTG Brasil;IPC;BTF - Sitio Elias;SEL274;-49,308555;-24,5893808;22
2865;TTG Brasil;IPC;BTF - Sitio Elias;SEL278;-49,3081749;-24,5880673;22
2866;TTG Brasil;IPC;BTF - Sitio Elias;SEL278;-49,3058756;-24,5888938;22
2867;TTG Brasil;IPC;BTF - Sitio Elias;SEL280;-49,3099701;-24,5864805;22
2868;TTG Brasil;IPC;BTF - Sitio Elias;SEL280;-49,3147173;-24,5873857;22
2869;TTG Brasil;IPC;BTF - Sitio Elias;SEL280;-49,3121837;-24,5880519;22
2870;TTG Brasil;IPC;BTF - Sitio Elias;SEL280;-49,3113532;-24,5863279;22
